Session_Year;Awarded_Year;Awarded_Work;Number_of_Awards;Movie_url
20;2001;卧虎藏龙;4;https://movie.douban.com/subject/1301168/
20;2001;榴莲飘飘;2;https://movie.douban.com/subject/1307681/
20;2001;花样年华;4;https://movie.douban.com/subject/1291557/
20;2001;公元2000;1;https://movie.douban.com/subject/1307875/
21;2002;少林足球;4;https://movie.douban.com/subject/1297747/
21;2002;男人四十;3;https://movie.douban.com/subject/1304530/
21;2002;地久天长;1;https://movie.douban.com/subject/1298269/
21;2002;幽灵人间;1;https://movie.douban.com/subject/1302638/
21;2002;特务迷城;1;https://movie.douban.com/subject/1302242/
21;2002;游园惊梦;1;https://movie.douban.com/subject/1304708/
22;2003;无间道;7;https://movie.douban.com/subject/1307914/
22;2003;见鬼;1;https://movie.douban.com/subject/1296026/
22;2003;双瞳;1;https://movie.douban.com/subject/1305046/
22;2003;三更之回家;1;https://movie.douban.com/subject/1307488/
22;2003;英雄;1;https://movie.douban.com/subject/1306123/
23;2004;大只佬;3;https://movie.douban.com/subject/1300359/
23;2004;PTU;1;https://movie.douban.com/subject/1302434/
23;2004;忘不了;1;https://movie.douban.com/subject/1308749/
23;2004;大丈夫;1;https://movie.douban.com/subject/1305179/
23;2004;豪情;1;https://movie.douban.com/subject/1307368/
23;2004;少年阿虎;1;https://movie.douban.com/subject/1301562/
23;2004;恋之风景;1;https://movie.douban.com/subject/1308672/
23;2004;千机变;2;https://movie.douban.com/subject/1307740/
24;2005;功夫;3;https://movie.douban.com/subject/1291543/
24;2005;旺角黑夜;2;https://movie.douban.com/subject/1366853/
24;2005;2046;4;https://movie.douban.com/subject/1291555/
24;2005;三更2之饺子;1;https://movie.douban.com/subject/1401873/
24;2005;蝴蝶;1;https://movie.douban.com/subject/1292331/
25;2006;黑社会;4;https://movie.douban.com/subject/1309220/
25;2006;如果‧爱;1;https://movie.douban.com/subject/1418070/
25;2006;头文字D;2;https://movie.douban.com/subject/1329562/
25;2006;早熟;1;https://movie.douban.com/subject/1329962/
25;2006;如果·爱;2;https://movie.douban.com/subject/1418070/
25;2006;三岔口;1;https://movie.douban.com/subject/1310185/
26;2007;父子;5;https://movie.douban.com/subject/1727557/
26;2007;我要成名;1;https://movie.douban.com/subject/1864290/
26;2007;满城尽带黄金甲;2;https://movie.douban.com/subject/1499008/
26;2007;夜宴;1;https://movie.douban.com/subject/1418605/
26;2007;伤城;1;https://movie.douban.com/subject/1867408/
26;2007;墨攻;1;https://movie.douban.com/subject/1455979/
27;2008;投名状;5;https://movie.douban.com/subject/1947089/
27;2008;神探;1;https://movie.douban.com/subject/2027938/
27;2008;姨妈的后现代生活;1;https://movie.douban.com/subject/1794435/
27;2008;门徒;2;https://movie.douban.com/subject/1890784/
27;2008;野·良犬;1;https://movie.douban.com/subject/2064441/
27;2008;跟踪;1;https://movie.douban.com/subject/1947114/
28;2009;叶问;1;https://movie.douban.com/subject/3041806/
28;2009;天水围的日与夜;4;https://movie.douban.com/subject/3077668/
28;2009;证人;2;https://movie.douban.com/subject/3312344/
28;2009;长江7号;1;https://movie.douban.com/subject/1961963/
28;2009;画皮;1;https://movie.douban.com/subject/2135981/
28;2009;保持通话;1;https://movie.douban.com/subject/2359431/
28;2009;赤壁;1;https://movie.douban.com/subject/1465829/
29;2010;十月围城;5;https://movie.douban.com/subject/3626416/
29;2010;岁月神偷;3;https://movie.douban.com/subject/3792799/
29;2010;心魔;1;https://movie.douban.com/subject/3899297/
29;2010;意外;1;https://movie.douban.com/subject/3013580/
29;2010;窃听风云;1;https://movie.douban.com/subject/3412882/